,QUESION,REPLY,DEMO,REPLY 2
,NOT MINE,"A few hours ago, we released the latest update on Google Play to fix the ITLG mining issue. Please update the app",,
,Nói tiếng khác,English please,,
,"Hi, stickers, emoji...",May I help you,,
,User chưa mô tả rõ vấn đề =>yêu cầu giải thích rõ,Please explain your problem clearly.,,
,BUG (trong vòng 20-30p thì lượng tin nhắn nhiều bất thường- nói chung về 1 vấn đề),Please record a screen video when the issue occurs so we can assist you better.,,
,User không xác minh được mặt,Can you send a video recording of the screen when scanning your face?,,
,Hỏi làm đại sứ,"Unfortunately, we’re not part of the ambassador program. Please contact her directly for support: @reina_interlinklabs.",,
,Hướng dẫn đăng kí,"1. Download the App:
 For iPhone: Go to the App Store and search for ""Interlink""
 For Android: Go to Google Play and search for ""Interlink""
2. Sign Up:
 Open the app and click ""Sign Up"".
 Enter your ID (A random number sequence created by you, not matching any other InterLink account).
The password consists of 6 digits, created by you, and please remember it
3.Complete Profile & Face Verification:
 Log in, complete your profile, and finish face verification to unlock all features.
4. Go to the 'Human Hash' section, submit the referral code, and once completed, your code will become active.
You can use the code: 1901200219
",https://drive.google.com/file/d/1mtGeCHLehfvzMldE9_qgFF5nkdVduyHR/view?usp=drive_link,
,"User muốn rút tiền, conver sang ITL, USD,...","you can not withdraw now, it will be withdrawn in the future when ITLG token is listed on exchanges and it will be a big surprise",,
,"Khi nào rút tiền, list sàn, nào bán được, giá bao nhiêu,....?","Follow our project on social media to stay updated 
https://x.com/inter_link",,
,"Mine không được cộng ITLG, bất kì bug gì khác",Please record a screen video when the issue occurs so we can assist you better.,,
,Quên mật khẩu Interlink app,Please tap on “Forgot Passcode” —> a verification code will be sent to the email linked to your Interlink account.,,Please provide a clear portrait photo of your face along with Interlink ID so we can check.
,Quên Intelrink ID,Please tap on “Forgot ID” and follow the system’s instructions.,https://drive.google.com/file/d/1ytm-A7-cTNyREGluEBB3h8gPoaQ1CS65/view?usp=drive_link,
,User muốn xoá Interlink account ,We currently don’t support account deletion. Thank you for your understanding.,,
,User muốn đổi Interlink ID ,"Currently, we do not support changing your ID. Thank you for your understanding.",,
,Tại sao ITLG bị giảm => do cơ chế burn (đồng thời gửi hình ảnh BURN và video CHECK BURN để hướng dẫn user tự check trên account của họ),"The token burn mechanism is now active, please stay tuned
If your direct and indirect referrals remain inactive and their total ITLG becomes 0, the referral rewards you previously received from them will be deducted.
","https://drive.google.com/file/d/1CTwDOk3b1LT6AgPqTRoJ5w_rsCMfofSA/view?usp=drive_link
https://drive.google.com/file/d/1TKiyC21cPZpmkGkTVzW5sn3RbLSIIACT/view?usp=drive_link
",
,User muốn thay đổi địa chỉ email,Please go to the “Account” section and change your email address.,,"We currently don’t support changing email addresses. We appreciate your understanding. You can still log in using face verification.
"
,Cách tạo ví (gửi kèm video),Please perform the steps shown in the video on your own account,https://drive.google.com/file/d/1mDRsk1EPbjKRsA51C9ztL4BjMjgRrJ8H/view?usp=drive_link,
,Login fail,How does it appear on the app? Please record your screen so we can easily identify the issue and assist you,,
,Hỏi mã mời - referral code,"Go to the 'Human Hash' section, submit the referral code, and once completed, your code will become active.
You can use the code: 42932917",,
,Tạo group,"You must complete verification before creating or joining a group.
For a member to be eligible to claim group rewards: The group must have at least 3 members. At least 2 members in the group must be active (e.g., 2/3, 2/4, 2/5).
Among those active members, you yourself must also be active. “Active” means mining at least once per day within the total of 6 mining sessions, and it only counts after you have joined the group (for example, if you mined once before joining the group, it does not count). You can join the group to exchange with other users. https://t.me/interlinkIDchat
",có video ,
,OTP (email),Please check the messages in your spam folder and double-check your email address.,,
,OTP (telegram),The Telegram OTP bot may be overloaded at the moment. Please try again in 15-30 minutes.,,
,"Bug gì đó, yêu cầu quay màn hình để dễ theo dõi ",How does it appear on the app? Please record your screen so we can easily identify the issue and assist you,,
,"sách trắng, thường trả ời cho Interlink là gì? cần thêm thông tin về dự án "," You can read the InterLink whitepaper v2  & related documents here:
https://whitepaper.interlinklabs.ai
https://x.com/inter_link/status/1934870831609598430
",,
,Yêu cầu video khi báo bug,Please record a screen video when the issue occurs so we can assist you better.,,
,Giảm 50% số lượng ITLG mine được ,"Through Interlink DAO, with 99% community approval via voting, we have reduced the number of ITLG tokens mined per session by 50%. With the main purpose of preventing ITLG inflation.",,
,làm thế nào chuyển ITLG sang ITL,ITLG hasn’t entered the verification phase yet. Please stay tuned for updates,,
,Cách login,Just enter your ID and proceed to log in.,,
,Cách recover ITLG ," If your ITLG was burned due to inactivity, it will be restored once you complete the full mining streak.

 If the burn was caused by your downline being inactive, they need to become active again and complete the mining streak to fully restore the burned ITLG. Once that happens, the ITLG burned from your downline will also be credited back to you.",,
,Cách kiếm thêm ITLG,"1. You only need to claim ITLG once every 4 hours.
2. Invite your friends using your referral code —> for each person you invite, you’ll earn 500 ITLG and boost your mining speed by 0.2x.
3. Join the in-app game and reach Tier 6 or higher to receive weekly and monthly rewards.
4. On top of that, you can earn even more ITLG by playing games and participating in events on Telegram and Discord.
5. Join a mining group to receive additional ITLG daily.
",,
